post_id,slide,type,field,label,value,unit,change,basis,source_no,source_id,publisher,source_title,source_date,accessed,url
2026-09-24-brief,2,news,viz.status,STATUS,전면 중단,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.status,RESTART,미정,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.status,CAUSE,정비 중 사망 사고,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.stats,올해 생산 전망 · 최대,1.28Mt,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.split,BHP (운영),57.5% (계산값),,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.split,Rio Tinto,30%,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,2,news,viz.split,JECO,12.5%,,,,1,reu-escondida,Reuters,World's largest copper mine halts operations after worker death,2026-09-23,2026-09-24,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html
2026-09-24-brief,3,news,viz.calendar,CENTINELA 투표,2026-09-26~2026-09-28,,,,3,reu-centinela,Reuters,Unions call strike vote at Antofagasta copper mine in Chile,2026-09-23,2026-09-24,https://www.mining.com/web/unions-call-strike-vote-at-antofagasta-copper-mine-in-chile
2026-09-24-brief,3,news,viz.calendar,CENTINELA 중재 5일,2026-09-29~2026-10-03 (추정),,,,3,reu-centinela,Reuters,Unions call strike vote at Antofagasta copper mine in Chile,2026-09-23,2026-09-24,https://www.mining.com/web/unions-call-strike-vote-at-antofagasta-copper-mine-in-chile
2026-09-24-brief,3,news,viz.calendar,CENTINELA +5,2026-10-04~2026-10-08 (추정),,,,3,reu-centinela,Reuters,Unions call strike vote at Antofagasta copper mine in Chile,2026-09-23,2026-09-24,https://www.mining.com/web/unions-call-strike-vote-at-antofagasta-copper-mine-in-chile
